timestamp,object_id,confidence,classification,result
2026-08-01 21:57:11,79,1.00,BASE,PASSED THROUGH
2026-08-01 21:57:19,80,1.00,LID,DIVERTED
2026-08-01 21:57:31,81,1.00,UNKNOWN,DIVERTED (unrecognized)
2026-08-01 21:57:40,82,1.00,LID,DIVERTED
2026-08-01 21:57:50,83,1.00,LID,DIVERTED
2026-08-01 21:57:58,84,1.00,UNKNOWN,DIVERTED (unrecognized)
2026-08-01 21:58:10,85,1.00,LID,DIVERTED
2026-08-01 21:58:17,86,1.00,BASE,PASSED THROUGH
2026-08-01 21:58:28,87,1.00,LID,DIVERTED
2026-08-01 21:58:37,88,1.00,LID,DIVERTED
2026-08-01 21:58:44,89,1.00,BASE,PASSED THROUGH
2026-08-01 21:58:52,90,1.00,LID,DIVERTED
